area,village,median,lat,lon,state_code
文山區,興邦里,767,25.0031015,121.5477044,552926834
文山區,樟樹里,664,24.9828413,121.560548,552426760
文山區,政大里,1215,24.9855677,121.5912242,552526778
文山區,樟文里,690,24.9821862,121.557694,552426757
南港區,南港里,646,25.0562606,121.6090553,554126995
南港區,三重里,834,25.0580584,121.6154739,554127000
南港區,新富里,598,25.0533299,121.6172567,554026991
南港區,中研里,675,25.0428272,121.6126212,553826966
南港區,鴻福里,691,25.0434248,121.5848043,553826961
南港區,東新里,635,25.05563,121.6004967,554126992
南港區,西新里,585,25.0528421,121.5926508,554026985
南港區,新光里,601,25.0435423,121.598357,553826965
南港區,百福里,605,25.0354508,121.5905109,553626942
南港區,玉成里,653,25.0513789,121.5848043,554026980
南港區,成福里,636,25.0434047,121.5905109,553826962
南港區,中南里,557,25.0468248,121.6069157,553926974
南港區,舊庄里,598,25.0278254,121.6368663,553426932
南港區,九如里,625,25.0253005,121.6026364,553426917
南港區,東明里,725,25.052979,121.6004967,554026987
南港區,合成里,680,25.0480747,121.5819509,553926972
南港區,聯成里,620,25.0476391,121.5880143,553926972
南港區,萬福里,655,25.0460762,121.5848043,553826968
南港區,仁福里,676,25.0374293,121.5933641,553626948
南港區,重陽里,1107,25.0574712,121.5955039,554126995
內湖區,紫陽里,750,25.0780494,121.5869443,554527029
內湖區,紫星里,682,25.0788589,121.5919375,554627031
內湖區,湖興里,709,25.0705903,121.5876576,554427018
內湖區,大湖里,865,25.0925629,121.6040629,554927052
內湖區,紫雲里,695,25.0775115,121.5976437,554527031
內湖區,瑞陽里,742,25.0759139,121.5819509,554527025
內湖區,清白里,907,25.0814879,121.5976437,554627036
內湖區,港墘里,750,25.0780918,121.5755304,554527027
內湖區,西湖里,655,25.082763,121.5669693,554727031
內湖區,石潭里,797,25.0614689,121.5897976,554227002
內湖區,葫洲里,897,25.0715139,121.6062025,554427023
內湖區,五分里,656,25.0668416,121.6147607,554327017
內湖區,內湖里,712,25.084161,121.5919375,554727039
內湖區,週美里,733,25.0570181,121.5833776,554126991
內湖區,內溝里,669,25.0968294,121.6140476,555027058
內湖區,碧山里,694,25.1022236,121.5912242,555127058
內湖區,瑞光里,737,25.0735993,121.5805241,554427021
內湖區,金龍里,649,25.0858013,121.5962172,554727042
內湖區,行善里,641,25.0547234,121.5762438,554026985
內湖區,湖濱里,808,25.0840253,121.5840909,554727037
內湖區,東湖里,620,25.0701436,121.6176133,554427023
內湖區,樂康里,669,25.0707949,121.6204658,554427025
內湖區,西安里,709,25.093369,121.5669693,554927044
內湖區,西康里,776,25.0900858,121.5584075,554827039
內湖區,港富里,703,25.0832156,121.5790974,554727035
內湖區,港華里,699,25.0886972,121.5755304,554827041
內湖區,港都里,719,25.0812377,121.5762438,554627031
內湖區,金瑞里,671,25.1009649,121.5741036,555127053
內湖區,湖元里,718,25.0638455,121.5741036,554227003
內湖區,安湖里,726,25.0708176,121.6147607,554427024
內湖區,秀湖里,827,25.0814656,121.6033497,554627038
內湖區,安泰里,627,25.0819142,121.6154739,554627041
內湖區,金湖里,1188,25.0759843,121.6069157,554527030
內湖區,康寧里,829,25.0754676,121.6119081,554527031
內湖區,明湖里,681,25.0712444,121.6115515,554427024
內湖區,蘆洲里,533,25.0614264,121.60121,554227004
內湖區,麗山里,722,25.0822477,121.5719634,554627032
內湖區,寶湖里,1167,25.0707265,121.5955039,554427019
內湖區,南湖里,1083,25.0672008,121.6076289,554327016
士林區,仁勇里,612,25.0890365,121.5262952,554827030
士林區,福林里,691,25.0928178,121.535573,554927037
士林區,福志里,732,25.0983,121.5320047,555027041
士林區,福德里,717,25.0926976,121.5220129,554927033
士林區,福佳里,680,25.0968537,121.5184441,555027037
士林區,舊佳里,624,25.0973296,121.5248678,555027039
士林區,富光里,567,25.0801436,121.5077373,554627015
士林區,後港里,657,25.0922212,121.5155891,554927032
士林區,前港里,672,25.0860667,121.5220129,554727026
士林區,福中里,637,25.0869162,121.5155891,554727025
士林區,葫蘆里,604,25.0844586,121.5063096,554727020
士林區,福順里,596,25.0817882,121.5120202,554627018
士林區,葫東里,568,25.0857671,121.5120202,554727023
士林區,社新里,564,25.0877834,121.5034543,554827024
士林區,社子里,588,25.0914084,121.5105925,554827030
士林區,永倫里,562,25.0949103,121.5041681,554927032
士林區,翠山里,711,25.1072998,121.5641155,555227056
士林區,福安里,524,25.0966662,121.4944863,555027031
士林區,富洲里,539,25.1053072,121.465614,555127032
士林區,承德里,718,25.0830781,121.5234403,554727022
士林區,蘭雅里,737,25.1099178,121.5277226,555327049
士林區,德行里,670,25.1029705,121.5234403,555127043
士林區,忠誠里,729,25.1063552,121.5273658,555227047
士林區,三玉里,780,25.1125498,121.5334321,555327052
士林區,芝山里,752,25.1139926,121.5469909,555327056
士林區,岩山里,657,25.103426,121.535573,555127047
士林區,義信里,684,25.0883828,121.5234403,554827029
士林區,永福里,766,25.1060373,121.5469909,555227051
士林區,新安里,656,25.1259036,121.5526993,555627061
士林區,公館里,658,25.1265335,121.5612615,555627063
士林區,陽明里,721,25.1398352,121.5498451,555927061
士林區,菁山里,629,25.148058,121.5655424,556127062
士林區,平等里,593,25.1473359,121.5798108,556127065
士林區,溪山里,571,25.1247795,121.5855176,555627068
士林區,百齡里,612,25.0841752,121.5173735,554727022
士林區,天玉里,790,25.1205262,121.5277226,555527054
士林區,天福里,743,25.1168644,121.5320047,555427054
士林區,天祿里,727,25.1135595,121.52915,555327052
士林區,天壽里,906,25.1168846,121.5262952,555427053
士林區,東山里,752,25.1226213,121.5441365,555527059
士林區,福華里,579,25.0817702,121.5177304,554627019
士林區,聖山里,778,25.1073349,121.5316479,555227049
士林區,天和里,791,25.1219898,121.535573,555527057
