district,address,boomTime,lat,lon,state_code
大同區,鄭州路38巷,105-1-31,25.049262,121.5089467,553926958
大同區,民族西路(129)號,105-2-2,25.0686872,121.5166314,554326998
大同區,機車道上橋處,105-1-7,25.062724300000006,121.5113064,554226986
大同區,民權西路與蘭州街口,105-1-23,25.062889,121.5147047,554226988
大同區,長安西路290號,105-1-8,25.0518263,121.5126814,554026965
大同區,延平北路4段42號,105-1-5,25.0697931,121.5107719,554426999
大同區,承德路與民生西路口,105-1-6,25.0707623,121.518518,554427002
大同區,環河北路與鄭州路口,105-1-13,25.050657,121.511863,553926962
大同區,承德路3段與民族西路口,105-1-15,25.068799,121.51346399999998,554326998
大同區,重慶北路2段與保安街口,105-1-23,25.0593752,121.5134561,554126980
大同區,重慶北路3段223巷,105-1-25,25.070517,121.5149472,554427001
大同區,重慶北路3段與昌吉街口,105-1-27,25.0660149,121.51393590000002,554326993
大同區,重慶北路4段,105-1-28,25.0785524,121.5143787,554627014
大同區,承德路3段89號,105-1-29,25.0634144,121.5185008,554226989
大同區,中華路與忠孝西路口,105-1-7,25.0417642,121.5382163,553726947
大同區,通河西街1段,105-1-8,25.0781899,121.5164546,554527014
大同區,市民大道1段,105-1-9,25.048513,121.5186205,553926958
大同區,民生西路240號,105-1-26,25.0568763,121.51431940000002,554126976
大同區,民權西路104號,105-1-27,25.0627169,121.51743229999998,554226988
大同區,環河北路1段427號,105-2-19,25.061987,121.508719,554226985
大同區,長安西路78巷與長安西路口,105-2-16,25.0498299,121.5189129,553926962
大同區,環河北路2段與民生西路口,105-3-1,25.056385,121.51168,554126974
大同區,民族西路與重慶北路3段口,105-3-9,25.0686418,121.5138172,554326998
大同區,民權西路144巷,105-2-17,25.0621945,121.5159337,554226987
大同區,民族西路與重慶北路3段口,105-2-19,25.0686418,121.5138172,554326998
大同區,萬全街5號,105-3-29,25.0587013,121.5200432,554126981
大同區,民權西路144巷19弄1號,105-5-19,25.0618708,121.5162533,554226986
大同區,承德路與民權西路口,105-1-28,25.064326,121.5188314,554226991
大同區,延平北路2段153號,105-1-31,25.0582629,121.51162,554126978
大同區,蘭州街與民權西路口,105-2-1,25.062889,121.5147047,554226988
大同區,岸河濱公園機車道,105-2-3,25.054116,121.507081,554026968
大同區,民生西路與重慶北路2段口,105-3-11,25.0570027,121.5138475,554126976
大同區,民生西路281號,105-1-25,25.0571022,121.5134365,554126976
大同區,民生西路290號,105-1-2,25.0568676,121.5127668,554126975
大同區,延平北路與酒泉街口,105-1-2,25.0719201,121.5109426,554427003
大同區,民族西路252巷,105-1-11,25.0679084,121.5122529,554326996
大同區,延平北路3段與昌吉街口,105-1-21,25.0673044,121.5110512,554326995
大同區,環河北路1段與民生西路口,105-1-26,25.0568782,121.5082932,554126974
