state_code,house_unitPrice,lease_unitPrice,center,center_lat,center_lon,cit,dist,vil,km_x,km_y
554026968,600500.0,1416.0,"(25.05335793224447, 121.51319391300592)",25.05335793224447,121.51319391300592,台北市,大同區,建功里,2770.25,13484.25
554026969,650500.0,1500.0,"(25.05335793224447, 121.5176996583723)",25.05335793224447,121.5176996583723,台北市,大同區,星明里,2770.25,13484.75
554026970,629000.0,,"(25.05335793224447, 121.52220540373867)",25.05335793224447,121.52220540373867,台北市,中山區,民安里,2770.25,13485.25
554026971,673000.0,1444.0,"(25.05335793224447, 121.52671114910504)",25.05335793224447,121.52671114910504,台北市,中山區,康樂里,2770.25,13485.75
554026972,603500.0,1354.5,"(25.05335793224447, 121.53121689447141)",25.05335793224447,121.53121689447141,台北市,中山區,中吉里,2770.25,13486.25
554026973,642000.0,1450.0,"(25.05335793224447, 121.53572263983779)",25.05335793224447,121.53572263983779,台北市,中山區,中央里,2770.25,13486.75
554026974,700000.0,1486.5,"(25.05335793224447, 121.54022838520414)",25.05335793224447,121.54022838520414,台北市,中山區,復華里,2770.25,13487.25
554026975,597000.0,1470.0,"(25.05335793224447, 121.54473413057052)",25.05335793224447,121.54473413057052,台北市,松山區,中正里,2770.25,13487.75
554026976,664000.0,1538.0,"(25.05335793224447, 121.54923987593689)",25.05335793224447,121.54923987593689,台北市,松山區,中華里,2770.25,13488.25
554026977,672500.0,1277.0,"(25.05335793224447, 121.55374562130326)",25.05335793224447,121.55374562130326,台北市,松山區,東勢里,2770.25,13488.75
554026978,635000.0,1227.0,"(25.05335793224447, 121.55825136666964)",25.05335793224447,121.55825136666964,台北市,松山區,東光里,2770.25,13489.25
554026979,618000.0,1274.5,"(25.05335793224447, 121.56275711203601)",25.05335793224447,121.56275711203601,台北市,松山區,東光里,2770.25,13489.75
554026980,655000.0,,"(25.05335793224447, 121.56726285740238)",25.05335793224447,121.56726285740238,台北市,松山區,安平里,2770.25,13490.25
554026981,628500.0,1272.0,"(25.05335793224447, 121.57176860276876)",25.05335793224447,121.57176860276876,台北市,松山區,新東里,2770.25,13490.75
554026982,607500.0,,"(25.05335793224447, 121.57627434813513)",25.05335793224447,121.57627434813513,台北市,內湖區,行善里,2770.25,13491.25
554026983,630500.0,,"(25.05335793224447, 121.5807800935015)",25.05335793224447,121.5807800935015,台北市,內湖區,行善里,2770.25,13491.75
554026984,442000.0,1200.0,"(25.05335793224447, 121.58528583886788)",25.05335793224447,121.58528583886788,台北市,南港區,玉成里,2770.25,13492.25
554026985,391000.0,,"(25.05335793224447, 121.58979158423425)",25.05335793224447,121.58979158423425,台北市,南港區,西新里,2770.25,13492.75
554026986,416000.0,1250.0,"(25.05335793224447, 121.59429732960062)",25.05335793224447,121.59429732960062,台北市,南港區,西新里,2770.25,13493.25
554026987,442500.0,1005.0,"(25.05335793224447, 121.598803074967)",25.05335793224447,121.598803074967,台北市,南港區,東明里,2770.25,13493.75
554026988,475500.0,1292.5,"(25.05335793224447, 121.60330882033337)",25.05335793224447,121.60330882033337,台北市,南港區,東明里,2770.25,13494.25
554026989,456000.0,,"(25.05335793224447, 121.60781456569973)",25.05335793224447,121.60781456569973,台北市,南港區,南港里,2770.25,13494.75
554026990,461000.0,1100.0,"(25.05335793224447, 121.6123203110661)",25.05335793224447,121.6123203110661,台北市,南港區,中南里,2770.25,13495.25
554026991,455000.0,1400.0,"(25.05335793224447, 121.61682605643247)",25.05335793224447,121.61682605643247,台北市,南港區,新富里,2770.25,13495.75
554126976,610000.0,1514.5,"(25.057879790909254, 121.50677433223211)",25.057879790909254,121.50677433223211,台北市,大同區,大有里,2770.75,13488.25
554126977,726000.0,,"(25.057879790909254, 121.51127850343046)",25.057879790909254,121.51127850343046,台北市,大同區,大有里,2770.75,13488.75
554126978,800500.0,1444.0,"(25.057879790909254, 121.51578267462881)",25.057879790909254,121.51578267462881,台北市,大同區,雙連里,2770.75,13489.25
554126979,513500.0,1230.0,"(25.057879790909254, 121.52028684582716)",25.057879790909254,121.52028684582716,台北市,大同區,雙連里,2770.75,13489.75
554126980,472500.0,1333.0,"(25.057879790909254, 121.5247910170255)",25.057879790909254,121.5247910170255,台北市,中山區,中山里,2770.75,13490.25
554126981,539000.0,1437.0,"(25.057879790909254, 121.52929518822386)",25.057879790909254,121.52929518822386,台北市,中山區,中原里,2770.75,13490.75
554126982,497000.0,1285.0,"(25.057879790909254, 121.5337993594222)",25.057879790909254,121.5337993594222,台北市,中山區,中央里,2770.75,13491.25
554126983,640000.0,1375.0,"(25.057879790909254, 121.53830353062055)",25.057879790909254,121.53830353062055,台北市,中山區,江山里,2770.75,13491.75
554126984,598000.0,1400.0,"(25.057879790909254, 121.5428077018189)",25.057879790909254,121.5428077018189,台北市,中山區,江山里,2770.75,13492.25
554126985,622000.0,1409.0,"(25.057879790909254, 121.54731187301724)",25.057879790909254,121.54731187301724,台北市,松山區,民有里,2770.75,13492.75
554126986,615500.0,1444.0,"(25.057879790909254, 121.55181604421558)",25.057879790909254,121.55181604421558,台北市,松山區,精忠里,2770.75,13493.25
554126987,624000.0,1333.0,"(25.057879790909254, 121.55632021541393)",25.057879790909254,121.55632021541393,台北市,松山區,介壽里,2770.75,13493.75
554126988,642000.0,,"(25.057879790909254, 121.56082438661228)",25.057879790909254,121.56082438661228,台北市,松山區,介壽里,2770.75,13494.25
554126989,602000.0,,"(25.057879790909254, 121.56532855781063)",25.057879790909254,121.56532855781063,台北市,松山區,富泰里,2770.75,13494.75
554126990,637000.0,1363.0,"(25.057879790909254, 121.56983272900898)",25.057879790909254,121.56983272900898,台北市,松山區,新東里,2770.75,13495.25
554126991,604000.0,1200.0,"(25.057879790909254, 121.57433690020733)",25.057879790909254,121.57433690020733,台北市,內湖區,湖元里,2770.75,13495.75
554126992,655000.0,1250.0,"(25.057879790909254, 121.57884107140568)",25.057879790909254,121.57884107140568,台北市,內湖區,週美里,2770.75,13496.25
554126993,593000.0,1250.0,"(25.057879790909254, 121.58334524260403)",25.057879790909254,121.58334524260403,台北市,內湖區,週美里,2770.75,13496.75
554126994,555000.0,1312.0,"(25.057879790909254, 121.58784941380237)",25.057879790909254,121.58784941380237,台北市,內湖區,石潭里,2770.75,13497.25
554126995,601000.0,1260.5,"(25.057879790909254, 121.59235358500072)",25.057879790909254,121.59235358500072,台北市,南港區,西新里,2770.75,13497.75
554126996,572000.0,1017.5,"(25.057879790909254, 121.59685775619907)",25.057879790909254,121.59685775619907,台北市,南港區,重陽里,2770.75,13498.25
554126997,697500.0,1250.0,"(25.057879790909254, 121.60136192739742)",25.057879790909254,121.60136192739742,台北市,南港區,東新里,2770.75,13498.75
554126998,424000.0,1250.0,"(25.057879790909254, 121.60586609859577)",25.057879790909254,121.60586609859577,台北市,南港區,南港里,2770.75,13499.25
554126999,523000.0,1333.0,"(25.057879790909254, 121.61037026979412)",25.057879790909254,121.61037026979412,台北市,南港區,南港里,2770.75,13499.75
554127001,604500.0,1195.0,"(25.057879790909254, 121.61937861219081)",25.057879790909254,121.61937861219081,台北市,南港區,三重里,2770.75,13500.75
554226985,483000.0,,"(25.062401649574042, 121.50734544739284)",25.062401649574042,121.50734544739284,台北市,大同區,南芳里,2771.25,13492.75
554226986,639000.0,,"(25.062401649574042, 121.51184813755783)",25.062401649574042,121.51184813755783,台北市,大同區,南芳里,2771.25,13493.25
554226987,596000.0,1411.0,"(25.062401649574042, 121.51635082772282)",25.062401649574042,121.51635082772282,台北市,大同區,民權里,2771.25,13493.75
554226988,719000.0,1402.0,"(25.062401649574042, 121.52085351788782)",25.062401649574042,121.52085351788782,台北市,中山區,集英里,2771.25,13494.25
554226989,575000.0,1397.5,"(25.062401649574042, 121.52535620805281)",25.062401649574042,121.52535620805281,台北市,中山區,聚葉里,2771.25,13494.75
554226990,624500.0,1434.0,"(25.062401649574042, 121.5298588982178)",25.062401649574042,121.5298588982178,台北市,中山區,新生里,2771.25,13495.25
554226991,556000.0,1305.0,"(25.062401649574042, 121.5343615883828)",25.062401649574042,121.5343615883828,台北市,中山區,松江里,2771.25,13495.75
554226992,636000.0,,"(25.062401649574042, 121.53886427854778)",25.062401649574042,121.53886427854778,台北市,中山區,行仁里,2771.25,13496.25
554226993,670500.0,1250.0,"(25.062401649574042, 121.54336696871277)",25.062401649574042,121.54336696871277,台北市,中山區,下埤里,2771.25,13496.75
554226994,681000.0,,"(25.062401649574042, 121.54786965887777)",25.062401649574042,121.54786965887777,台北市,松山區,民福里,2771.25,13497.25
